timestamp,direction,entry,sl,tp1,tp2,sl_dist,label_tp1,label_tp2,label,bars_to_close,score_base,score_bonus,valid_signal,is_pullback,f00,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,hour,dow,atn_h1,atr_h4,adx_h1,adx_h4,rsi_h1,ctx_score,d1_dist_pct,adn_phase
2022-02-22 06:15:00,BUY,1909.692,1901.7909,1921.54365,1929.44475,7.9011,0,0,0,9,4,3,1,0,0.6628437481614335,0.7131953681357709,0.7759899364969722,0.2257298171931973,0.2727964122519906,0.14017296163345877,0.28060050573787065,0.0009474859163086121,0.0022985378605575118,0.004610952022578591,5.4317897561270865,0.31033805392330444,1.3921130333366842,0.9024366665194404,0.3972410412902269,0.7877814101088942,8.27194140567274,4.06070081928687,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.02336,1.0,0.0,0.6666666666666666,0.42857142857142855,0.75,0.0,0.0,0.0,0.0,0.0,0.4122124470305423,0.5,0.5,6,1,4.3895,8.8055,22.573,28.06,66.28,1.0234,5.4318,3
2022-02-22 06:30:00,BUY,1908.837,1900.9359,1920.68865,1928.58975,7.9011,0,0,0,9,4,3,1,0,0.6628437481614335,0.49457803143502965,0.6766459987822165,0.2257298171931973,0.2727964122519906,0.14017296163345877,0.28060050573787065,0.0009503274046048898,0.002299567414087109,0.004613017345065164,5.384586238365327,0.27552716533266497,1.3921130333366842,0.9024366665194404,0.3972410412902269,0.7877814101088942,8.174842981306465,3.9636023949205965,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.02336,1.0,0.0,0.6666666666666666,0.42857142857142855,0.75,0.0,0.0,0.0,0.0,0.0,0.41326355494807454,0.0,0.0,6,1,4.3895,8.8055,22.573,28.06,66.28,1.0234,5.3846,3
2022-02-22 06:45:00,BUY,1909.896,1901.9949,1921.74765,1929.64875,7.9011,0,0,0,7,4,3,1,0,0.6628437481614335,0.47177320756890334,0.5598488690465679,0.2257298171931973,0.2727964122519906,0.14017296163345877,0.28060050573787065,0.0009465833837589796,0.0022982923489047553,0.004610459517116196,5.443052349838662,0.3186438097975601,1.3921130333366842,0.9024366665194404,0.3972410412902269,0.7877814101088942,8.2951087490303,4.08386816264443,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.02336,1.0,0.0,0.6666666666666666,0.42857142857142855,0.75,0.0,0.0,0.0,0.0,0.0,0.4118637839935481,0.0,0.0,6,1,4.3895,8.8055,22.573,28.06,66.28,1.0234,5.4431,3
2022-02-22 07:00:00,BUY,1911.159,1904.57475,1921.03537,1927.61962,6.58425,0,0,0,5,5,3,1,1,0.6628437481614335,0.5408890082358778,0.5024134157466036,0.2257298171931973,0.2727964122519906,0.14017296163345877,0.28060050573787065,0.0009598284017334724,0.0022967735096890408,0.004607412669433656,5.512781055023583,0.3700662101367201,1.3921130333366842,0.9024366665194404,0.3972410412902269,0.7877814101088942,8.438541860111721,4.2273012737258515,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1.02336,1.0,1.0,0.8333333333333334,0.42857142857142855,0.75,0.0,0.0,0.0,0.0,0.0,0.4179029396959383,0.0,0.0,7,1,4.3895,8.8055,22.573,28.06,66.28,1.0234,5.5128,3
2022-02-22 07:15:00,BUY,1912.167,1904.04778,1924.34583,1932.46505,8.11922,0,0,0,4,4,4,1,0,0.6287202374263382,0.7031567517478028,0.5719396558508614,0.23653530955535607,0.2799660825472815,0.12666386407617994,0.28060050573787065,0.0010038349515635293,0.0023589351666776196,0.0046049838690355805,5.568431518069015,0.3860777623321407,1.3485773479956513,0.9349755009878064,0.3972410412902269,0.7877814101088942,8.553015791996145,4.341775205610276,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.9849840000000001,1.0,0.0,0.6666666666666666,0.5714285714285714,0.75,1.0,0.0,1.0,0.0,0.0,0.42554579944425,0.0,0.0,7,1,4.51068,8.8055,23.654,28.06,62.87,0.985,5.5684,3
2022-02-22 07:30:00,BUY,1911.322,1903.20278,1923.50083,1931.62005,8.11922,0,0,0,4,4,4,1,0,0.6287202374263382,0.7199771721677832,0.6546743107171547,0.23653530955535607,0.2799660825472815,0.12666386407617994,0.28060050573787065,0.0009933476441116315,0.0023599780575227214,0.004607019743351543,5.521780088234293,0.3516358295751681,1.3485773479956513,0.9349755009878064,0.3972410412902269,0.7877814101088942,8.457053021716026,4.245812435330157,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.9849840000000001,1.0,0.0,0.6666666666666666,0.5714285714285714,0.75,1.0,0.0,1.0,0.0,0.0,0.4209139321126279,0.0,0.0,7,1,4.51068,8.8055,23.654,28.06,62.87,0.985,5.5218,3
2022-02-22 07:45:00,BUY,1908.568,1900.44878,1920.74683,1928.86605,8.11922,0,0,0,4,4,4,1,0,0.6287202374263382,0.5422894982213589,0.655141140712315,0.23653530955535607,0.2799660825472815,0.12666386407617994,0.28060050573787065,0.0010865249187536473,0.0023633834271875247,0.004613667519261641,5.369735073128002,0.23938366056606017,1.3485773479956513,0.9349755009878064,0.3972410412902269,0.7877814101088942,8.14429388638889,3.9330533000030203,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.9849840000000001,1.0,0.0,0.6666666666666666,0.5714285714285714,0.75,1.0,0.0,1.0,0.0,0.0,0.4597328161032914,0.0,0.0,7,1,4.51068,8.8055,23.654,28.06,62.87,0.985,5.3697,3
2022-02-22 08:00:00,BUY,1910.605,1902.48578,1922.78383,1930.90305,8.11922,0,0,0,2,4,4,1,0,0.6287202374263382,0.4729758980887241,0.5784141894926221,0.23653530955535607,0.2799660825472815,0.12666386407617994,0.28060050573787065,0.0011807848069352422,0.002360863695457953,0.0046087486371605615,5.482195383865667,0.3224111363364177,1.3485773479956513,0.9349755009878064,0.3972410412902269,0.7877814101088942,8.375626623738713,4.164386037352842,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.9849840000000001,1.0,0.0,0.6666666666666666,0.5714285714285714,0.75,1.0,0.0,1.0,0.0,0.0,0.50014950416035,0.0,0.0,8,1,4.51068,8.8055,23.654,28.06,62.87,0.985,5.4822,3
2022-02-22 08:15:00,BUY,1904.406,1894.81125,1918.79812,1928.39287,9.59475,0,0,0,8,3,2,0,0,0.4169166599723431,0.2984840883428095,0.43791649488429746,0.22459131604411975,0.21998927912367464,0.2527599738805523,0.2608530019847098,0.001374675869262602,0.002798991007138834,0.005063463975820771,5.139956077894736,0.06954333456781513,1.3074321459761828,1.1033836936909878,0.3575046929839967,0.6847339867359947,6.9467019351687,3.0792534295158878,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1.1448840000000002,1.0,0.0,0.5,0.2857142857142857,0.75,0.0,0.0,0.0,0.0,0.0,0.49113264940780255,0.0,0.0,8,1,5.33042,9.64289,22.459,26.085,41.69,1.1449,5.14,3
2022-02-22 08:30:00,BUY,1904.053,1894.45825,1918.44512,1928.03987,9.59475,0,0,0,8,3,2,0,0,0.4169166599723431,0.2979173714773614,0.356459119302965,0.22459131604411975,0.21998927912367464,0.2527599738805523,0.2608530019847098,0.0014068573216946061,0.0027995099232748445,0.005064402711656099,5.1204673740703,0.05513845421197138,1.3074321459761828,1.1033836936909878,0.3575046929839967,0.6847339867359947,6.910094656962979,3.0426461513101675,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1.1448840000000002,1.0,0.0,0.5,0.2857142857142857,0.75,0.0,0.0,0.0,0.0,0.0,0.5025370011137326,0.0,0.0,8,1,5.33042,9.64289,22.459,26.085,41.69,1.1449,5.1205,3
