timestamp,direction,entry,sl,tp1,tp2,label,label_tp2,f00,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35
2022-03-04 11:00:00,BUY,1947.396,1936.561,1963.648,1974.483,1,1,0.63916379,0.69497591,0.64274824,0.25593862,0.25453222,0.11148149,0.22640814,0.00159946,0.00332224,0.00681602,6.84610796,-0.02337542,1.33323121,0.99348688,0.25585577,0.31932867,5.96467161,2.40590787,0.25881904,-0.96592581,-0.9749279,-0.22252093,1.10234797,1.0,0.0,0.5,0.42857143,0.75,0.0,0.0,1.0,0.0,0.0,0.48144099,0.0,0.0
2022-03-04 11:15:00,BUY,1947.713,1936.637,1964.327,1975.403,1,1,0.63916379,0.8136096,0.69858575,0.25593862,0.25453222,0.11148149,0.22640814,0.00158336,0.0033217,0.00681492,6.86331558,0.00514481,1.33323121,0.99348688,0.25585577,0.31932867,5.98855352,2.42979002,0.25881904,-0.96592581,-0.9749279,-0.22252093,1.10234797,1.0,0.0,0.5,0.42857143,0.75,0.0,0.0,1.0,0.0,0.0,0.47667152,0.0,0.0
2022-03-04 11:30:00,BUY,1946.54,1935.235,1963.498,1974.804,1,1,0.63916379,0.73037672,0.74632072,0.25593862,0.25453222,0.11148149,0.22640814,0.00157877,0.0033237,0.00681902,6.79964161,-0.10038905,1.33323121,0.99348688,0.25585577,0.31932867,5.90018225,2.3414185,0.25881904,-0.96592581,-0.9749279,-0.22252093,1.10234797,1.0,0.0,0.5,0.42857143,0.75,0.0,0.0,1.0,0.0,0.0,0.4750044,0.0,0.0
2022-03-04 11:45:00,BUY,1944.806,1933.363,1961.97,1973.413,1,1,0.63916379,0.53553861,0.69317502,0.25593862,0.25453222,0.11148149,0.22640814,0.00153016,0.00332666,0.0068251,6.70551348,-0.25639564,1.33323121,0.99348688,0.25585577,0.31932867,5.76954603,2.21078229,0.25881904,-0.96592581,-0.9749279,-0.22252093,1.10234797,1.0,0.0,0.5,0.42857143,0.75,0.0,0.0,1.0,0.0,0.0,0.45996732,0.0,0.0
2022-03-04 12:00:00,BUY,1946.554,1935.468,1963.182,1974.268,1,1,0.62686867,0.41917562,0.56169701,0.28118715,0.25174305,0.09661729,0.26913887,0.00153458,0.00326588,0.00690161,6.80040169,-0.17526864,1.27710676,0.97443449,0.2651841,0.36188433,5.77268839,2.22415996,0.0,-1.0,-0.9749279,-0.22252093,1.05874598,1.0,0.0,0.5,0.42857143,0.75,1.0,0.0,1.0,0.0,0.0,0.46988237,0.0,0.0
2022-03-04 12:15:00,BUY,1949.189,1937.645,1966.505,1978.049,1,1,0.62686867,0.52036226,0.49169219,0.28118715,0.25174305,0.09661729,0.26913887,0.00152254,0.00326147,0.00689228,6.94343615,0.06534289,1.27710676,0.97443449,0.2651841,0.36188433,5.96882725,2.42029881,0.0,-1.0,-0.9749279,-0.22252093,1.05874598,1.0,0.0,0.5,0.42857143,0.75,1.0,0.0,1.0,0.0,0.0,0.4668262,0.0,0.0
2022-03-04 12:30:00,BUY,1949.364,1937.798,1966.712,1978.278,1,1,0.62686867,0.76509112,0.56820965,0.28118715,0.25174305,0.09661729,0.26913887,0.00150654,0.00326117,0.00689166,6.95293522,0.08132278,1.27710676,0.97443449,0.2651841,0.36188433,5.98185349,2.43332505,0.0,-1.0,-0.9749279,-0.22252093,1.05874598,1.0,0.0,0.5,0.42857143,0.75,1.0,0.0,1.0,0.0,0.0,0.46196109,0.0,0.0
2022-03-04 12:45:00,BUY,1946.191,1934.589,1963.593,1975.195,1,1,0.62686867,0.69916862,0.66154069,0.28118715,0.25174305,0.09661729,0.26913887,0.00151251,0.00326649,0.0069029,6.78069687,-0.20841549,1.27710676,0.97443449,0.2651841,0.36188433,5.74566793,2.19713974,0.0,-1.0,-0.9749279,-0.22252093,1.05874598,1.0,0.0,0.5,0.42857143,0.75,1.0,0.0,1.0,0.0,0.0,0.46303976,0.0,0.0
2022-03-04 14:00:00,BUY,1947.069,1936.501,1962.921,1973.489,1,1,0.62666088,0.55872083,0.43573809,0.29389054,0.20698996,0.13700633,0.26913887,0.00169093,0.00360502,0.00689978,6.82835722,-0.23135847,1.11364555,1.06816912,0.2651841,0.36188433,5.81102276,2.26249456,-0.5,-0.86602539,-0.9749279,-0.22252093,1.186198,1.0,0.0,0.5,0.5714286,0.75,0.0,0.0,0.0,0.0,0.0,0.46904925,0.0,0.0
2022-03-04 14:15:00,BUY,1948.602,1937.63,1965.061,1976.033,1,1,0.62666088,0.72606093,0.55988353,0.29389054,0.20698996,0.13700633,0.26913887,0.00170272,0.00360218,0.00689436,6.91157246,-0.07961578,1.11364555,1.06816912,0.2651841,0.36188433,5.92513323,2.3766048,-0.5,-0.86602539,-0.9749279,-0.22252093,1.186198,1.0,0.0,0.5,0.5714286,0.75,0.0,0.0,0.0,0.0,0.0,0.47269231,0.0,0.0
