dt,dow,open,high,low,close,ret_oc_pct,ret_cc_pct,range_usd,range_pct,true_range,dir,vol
2020-01-05,Sunday,1576.329,1582.102,1566.855,1569.216,-0.45123828845374647,,15.247000000000071,0.9672473195633697,,DOWN,5730
2020-01-06,Monday,1569.151,1579.966,1560.818,1563.706,-0.34700293343344035,-0.3511307557404475,19.14799999999991,1.2202777170584547,19.14799999999991,DOWN,71908
2020-01-07,Tuesday,1563.723,1598.344,1555.277,1595.042,2.0028483305547056,2.003957265624101,43.06700000000001,2.7541322855774335,43.06700000000001,UP,74537
2020-01-08,Wednesday,1595.013,1611.365,1552.222,1558.022,-2.3191660506842253,-2.320942019081629,59.14300000000003,3.7079948564682566,59.14300000000003,DOWN,102179
2020-01-09,Thursday,1558.016,1561.257,1540.211,1552.626,-0.3459528015116725,-0.34633657291103237,21.04600000000005,1.3508205307262602,21.04600000000005,DOWN,69231
2020-01-10,Friday,1552.59,1560.935,1545.667,1560.215,0.49111484680437206,0.48878480715897066,15.268000000000029,0.9833890466897268,15.268000000000029,UP,57633
2020-01-12,Sunday,1559.714,1560.563,1557.998,1559.187,-0.033788245793782944,-0.06588835513053892,2.5650000000000546,0.16445322668130535,2.5650000000000546,DOWN,1859
2020-01-13,Monday,1559.226,1559.957,1544.911,1545.188,-0.9003184913540442,-0.897839707488568,15.04600000000005,0.964965951055206,15.04600000000005,DOWN,56688
2020-01-14,Tuesday,1545.196,1549.935,1535.834,1549.498,0.2784112824522025,0.27893046024172197,14.100999999999885,0.9125703147044054,14.100999999999885,UP,62735
2020-01-15,Wednesday,1549.489,1558.082,1546.34,1556.252,0.4364664737858687,0.4358831053670187,11.74200000000019,0.7577982160570478,11.74200000000019,UP,59033
2020-01-16,Thursday,1556.272,1558.037,1547.955,1552.144,-0.26524926233974067,-0.263967532250553,10.082000000000107,0.6478301993481929,10.082000000000107,DOWN,53626
2020-01-17,Friday,1552.147,1561.156,1549.343,1557.074,0.31743127422854506,0.3176251687987852,11.812999999999874,0.7610748208771383,11.812999999999874,UP,51479
2020-01-19,Sunday,1558.947,1558.947,1556.292,1556.98,-0.1261749116551025,-0.006036964203370854,2.6549999999999727,0.1703072650962459,2.6549999999999727,DOWN,1805
2020-01-20,Monday,1556.975,1562.65,1556.627,1561.177,0.2698823038263298,0.2695603026371396,6.023000000000138,0.3868398657653552,6.023000000000138,UP,35282
2020-01-21,Tuesday,1561.174,1568.507,1546.314,1556.466,-0.3015679226018422,-0.301759505808763,22.192999999999984,1.421558391313203,22.192999999999984,DOWN,62690
2020-01-22,Wednesday,1556.421,1563.677,1550.135,1561.367,0.3177803434931752,0.31487999095387575,13.541999999999916,0.8700730714890069,13.541999999999916,UP,54346
2020-01-23,Thursday,1561.378,1567.864,1551.892,1560.889,-0.031318489180712984,-0.030614198967959805,15.97199999999998,1.0229425545895985,15.97199999999998,DOWN,57428
2020-01-24,Friday,1560.883,1575.728,1556.513,1571.508,0.6807044474185445,0.680317434487665,19.215000000000146,1.2310339724374053,19.215000000000146,UP,52558
2020-01-26,Sunday,1581.234,1588.516,1581.234,1582.664,0.09043569768927709,0.7098913909442395,7.282000000000153,0.4605263990023079,17.008000000000038,UP,4435
2020-01-27,Monday,1582.704,1586.182,1575.831,1581.06,-0.10387286567797929,-0.10134810673648742,10.351000000000113,0.6540073191196909,10.351000000000113,DOWN,64147
2020-01-28,Tuesday,1581.057,1582.959,1565.52,1568.436,-0.7982634402175313,-0.7984516716633139,17.439000000000078,1.1029962866613967,17.439000000000078,DOWN,58734
2020-01-29,Wednesday,1568.45,1577.879,1563.318,1577.019,0.5463355542095674,0.5472330397925163,14.560999999999922,0.9283687717172955,14.560999999999922,UP,53920
2020-01-30,Thursday,1577.001,1585.868,1572.23,1575.1,-0.12054526281213947,-0.12168528090024111,13.63799999999992,0.8648060464134087,13.63799999999992,DOWN,66323
2020-01-31,Friday,1575.101,1589.308,1570.919,1586.766,0.7405874289966143,0.7406513872135312,18.388999999999896,1.1674806885399662,18.388999999999896,UP,59342
2020-02-02,Sunday,1588.544,1592.017,1587.972,1589.412,0.0546412312154991,0.1667542662245003,4.045000000000073,0.2546356915515134,5.250999999999976,UP,3041
2020-02-03,Monday,1589.377,1589.979,1569.346,1578.756,-0.668249257413431,-0.670436614295089,20.633000000000038,1.298181614557153,20.633000000000038,DOWN,64731
2020-02-04,Tuesday,1578.768,1579.535,1549.005,1554.073,-1.5641943591458616,-1.5634461563408197,30.529999999999973,1.9337863447954338,30.529999999999973,DOWN,60413
2020-02-05,Wednesday,1554.056,1562.305,1547.479,1556.064,0.12921027298887802,0.1281149598506559,14.826000000000022,0.9540196749666693,14.826000000000022,UP,61703
2020-02-06,Thursday,1556.024,1568.148,1552.461,1565.753,0.6252474254895839,0.6226607645957838,15.686999999999898,1.0081464039115013,15.686999999999898,UP,55232
2020-02-07,Friday,1565.757,1573.935,1560.256,1570.145,0.28024782900538975,0.2805040130850811,13.67899999999986,0.8736349254705461,13.67899999999986,UP,57061
2020-02-09,Sunday,1569.258,1576.551,1569.028,1574.764,0.3508664604545497,0.29417665247477576,7.522999999999911,0.47939854377036223,7.522999999999911,UP,2835
2020-02-10,Monday,1574.725,1576.918,1567.939,1571.928,-0.17761831430883476,-0.18009047704924397,8.978999999999814,0.5701947959167356,8.978999999999814,DOWN,51494
2020-02-11,Tuesday,1571.929,1573.923,1562.134,1567.034,-0.31140083298927507,-0.31133741494521194,11.788999999999987,0.7499702594710058,11.788999999999987,DOWN,51153
