dt,dow,open,high,low,close,ret_oc_pct,ret_cc_pct,range_usd,range_pct,true_range,dir,vol
2022-03-02,Wednesday,1935.955,1947.856,1913.468,1928.805,-0.36932676637627754,,34.38799999999992,1.7762809569437266,,DOWN,132250
2022-03-03,Thursday,1928.837,1941.243,1921.988,1934.87,0.3127791513746315,0.3144433988920614,19.25499999999988,0.9982699419391002,19.25499999999988,UP,121829
2022-03-04,Friday,1934.879,1970.844,1929.388,1970.317,1.8315357187710501,1.832009385643496,41.45600000000013,2.1425629199552083,41.45600000000013,UP,152652
2022-03-06,Sunday,1981.416,1991.499,1981.269,1988.583,0.361711018786572,0.9270589453372224,10.230000000000018,0.5162974357732055,21.182000000000016,UP,11608
2022-03-07,Monday,1988.6,2002.716,1960.799,1998.736,0.5097053203258672,0.5105645577780704,41.916999999999916,2.1078648295283076,41.916999999999916,UP,222651
2022-03-08,Tuesday,1998.753,2070.342,1980.906,2043.828,2.255156089822006,2.2560258083108353,89.43600000000015,4.4745899068069015,89.43600000000015,UP,317250
2022-03-09,Wednesday,2043.799,2059.09,1975.866,1989.867,-2.6388113508226603,-2.6401928146595477,83.22400000000016,4.072024695187744,83.22400000000016,DOWN,262480
2022-03-10,Thursday,1989.862,2009.102,1970.412,1995.387,0.27765744559169747,0.27740547483827704,38.690000000000055,1.9443559402611867,38.690000000000055,UP,205987
2022-03-11,Friday,1995.388,1997.308,1958.306,1988.147,-0.36288681700000125,-0.36283688327126695,39.00199999999995,1.9546073244902724,39.00199999999995,DOWN,162908
2022-03-13,Sunday,1980.342,1983.847,1970.76,1974.302,-0.30499782360825506,-0.6963770787572598,13.086999999999989,0.6608454499273353,17.386999999999944,DOWN,8520
2022-03-14,Monday,1974.263,1978.865,1949.352,1952.184,-1.1183413759970153,-1.1202946661655555,29.51299999999992,1.4948869527514785,29.51299999999992,DOWN,132308
2022-03-15,Tuesday,1952.176,1952.208,1906.916,1918.085,-1.746307709960572,-1.746710351073466,45.292000000000144,2.320077697912491,45.292000000000144,DOWN,154059
2022-03-16,Wednesday,1918.082,1929.424,1894.75,1927.034,0.46671623006732754,0.4665590940964526,34.67399999999998,1.807743360294293,34.67399999999998,UP,152539
2022-03-17,Thursday,1927.03,1949.689,1925.557,1943.947,0.8778794310415468,0.8776700359204748,24.132000000000062,1.2522897931013042,24.132000000000062,UP,117718
2022-03-18,Friday,1943.915,1945.34,1917.946,1921.271,-1.1648657477307394,-1.1664927078773202,27.394000000000005,1.409217995642814,27.394000000000005,DOWN,113210
2022-03-20,Sunday,1925.067,1926.334,1918.261,1918.985,-0.3159370556972878,-0.11898373524610317,8.073000000000093,0.4193620273995707,8.073000000000093,DOWN,4776
2022-03-21,Monday,1919.007,1941.147,1917.862,1935.579,0.863571628451584,0.8647279681706754,23.284999999999854,1.213387965755198,23.284999999999854,UP,96655
2022-03-22,Tuesday,1935.611,1938.331,1910.378,1919.665,-0.8238225552551696,-0.8221829230426692,27.952999999999975,1.4441434771759394,27.952999999999975,DOWN,102629
2022-03-23,Wednesday,1919.663,1948.31,1915.575,1946.106,1.3774813600095426,1.3773757400379782,32.7349999999999,1.705247223080296,32.7349999999999,UP,87952
2022-03-24,Thursday,1946.073,1966.151,1937.434,1959.217,0.6754114568158546,0.673704310042722,28.7170000000001,1.4756383753333042,28.7170000000001,UP,105667
