open_dt,close_dt,signal,adn_mi_psy,type,direction,entry,sl_str,tp_str,lots_str,balance_open,profit,raison_sl,raison_tp,atr_m15,atr_h1,atr_h4,adx_h4,ema200_d1_pct,spread_pts,score_buy,score_sell,context_score,risk_mul,risk_used_pct,psy_peur,psy_cupidite,psy_epuise_vend,psy_epuise_ach,adn_force_explo,mi_cible_inst,dg_buy_susp,dg_sell_ovr,adn,miroir,psy,signal_class,sl,tp,lots,sl_dist,tp_dist,rr_target,sl_dist_pct,tp_dist_pct,raison_sl_explosion,raison_sl_compression,raison_sl_tendance,raison_sl_pullback,raison_sl_inst,open_ts,hour,dow,month,session,win,profit_pct
2022.11.14 16:31,2022.11.30 13:33,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|MANIPULATION_HAUSSIER|RETOUR_BAISSIER,TENDANCE_H4,BUY,1768.3,SL=1759.18,TP=1791.10,Lots=0.01,915.44,6.48,SL_APRES_MANIPULATION_1.80xATR,TP_TENDANCE_RR1.5-2.5,3.42236,5.06629,9.55979,25.34,1.0323,200,1,0,1.19,1.05,0.21,40.2971,59.7029,62.2393,37.7607,0.0,1760.21,0,0,ADN_DECLENCHEUR,MANIPULATION_HAUSSIER,RETOUR_BAISSIER,TENDANCE,1759.18,1791.1,0.01,9.11999999999989,22.799999999999955,2.500000000000025,0.5157495900016904,1.2893739750042388,0,0,0,0,0,2022-11-14 16:31:00,16,0,11,NY,1,0.7078563313816306
2022.11.22 04:00,2022.11.30 18:29,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|OK|NEUTRE,TENDANCE_H4,BUY,1744.37,SL=1738.10,TP=1760.05,Lots=0.01,921.44,-7.95,SL_TENDANCE_H4_1.80xATR,TP_TENDANCE_RR1.5-2.5,1.40007,3.48336,6.72714,23.59,-0.3613,200,2,0,1.066,1.066,0.213,47.6361,52.3639,57.387,42.613,0.0,0.0,0,0,ADN_DECLENCHEUR,OK,NEUTRE,TENDANCE,1738.1,1760.05,0.01,6.269999999999982,15.680000000000064,2.5007974481658866,0.3594420908408183,0.8988918635381293,0,0,1,0,0,2022-11-22 04:00:00,4,1,11,ASIA,0,-0.8627799965271749
2022.11.28 05:15,2022.12.01 07:56,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|OK|NEUTRE,TENDANCE_H4,BUY,1751.88,SL=1745.17,TP=1768.66,Lots=0.01,915.17,15.51,SL_TENDANCE_H4_1.80xATR,TP_TENDANCE_RR1.5-2.5,1.2555,3.72714,5.45543,17.32,0.0626,200,2,0,1.19,1.05,0.21,50.6141,49.3859,49.2714,50.7286,0.0,0.0,0,0,ADN_DECLENCHEUR,OK,NEUTRE,TENDANCE,1745.17,1768.66,0.01,6.710000000000036,16.779999999999973,2.500745156482844,0.3830171016279674,0.9578281617462368,0,0,1,0,0,2022-11-28 05:15:00,5,0,11,ASIA,1,1.6947670924527685
2022.11.29 16:31,2022.12.02 20:00,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|OK|NEUTRE,TENDANCE_H4,BUY,1750.25,SL=1741.60,TP=1771.86,Lots=0.01,916.03,0.21,SL_TENDANCE_H4_1.80xATR,TP_TENDANCE_RR1.5-2.5,2.96579,4.80214,7.94286,24.3,-0.0246,200,2,0,1.066,1.066,0.213,52.2085,47.7915,66.9647,33.0353,0.0,0.0,0,0,ADN_DECLENCHEUR,OK,NEUTRE,TENDANCE,1741.6,1771.86,0.01,8.650000000000091,21.6099999999999,2.498265895953719,0.4942151121268442,1.2346807598914382,0,0,1,0,0,2022-11-29 16:31:00,16,1,11,NY,1,0.022925013372924467
2022.11.30 16:31,2022.12.05 09:03,BUY TENDANCE [Cerveau v5],ADN_EXPLOSION|MANIPULATION_BAISSIER|NEUTRE,TENDANCE_H4,BUY,1753.37,SL=1745.43,TP=1773.20,Lots=0.01,921.94,-10.19,SL_EXPLOSION_ADN_1.80xATR,TP_TENDANCE_RR1.5-2.5,4.16857,4.40779,7.60379,31.17,0.1527,200,2,0,0.893,0.893,0.179,52.6347,47.3653,33.7849,66.2151,36.1467,1762.9,0,0,ADN_EXPLOSION,MANIPULATION_BAISSIER,NEUTRE,TENDANCE,1745.43,1773.2,0.01,7.939999999999827,19.830000000000155,2.4974811083124164,0.45284224094171954,1.1309649417978038,1,0,0,0,0,2022-11-30 16:31:00,16,2,11,NY,0,-1.1052780007375749
2022.11.30 19:00,2022.12.09 09:01,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|MANIPULATION_BAISSIER|NEUTRE,TENDANCE_H4,BUY,1760.47,SL=1750.67,TP=1784.95,Lots=0.01,913.99,-0.03,SL_APRES_MANIPULATION_1.80xATR,TP_TENDANCE_RR1.5-2.5,3.45064,5.44129,8.51036,29.69,0.5543,200,1,0,0.893,0.893,0.179,41.6976,58.3024,59.8897,40.1103,0.0,1759.99,0,0,ADN_DECLENCHEUR,MANIPULATION_BAISSIER,NEUTRE,TENDANCE,1750.67,1784.95,0.01,9.799999999999955,24.480000000000018,2.497959183673483,0.5566695257516433,1.3905377541224795,0,0,0,0,0,2022-11-30 19:00:00,19,2,11,NY,0,-0.0032823116226654557
2022.12.02 17:15,2022.12.09 20:00,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|OK|NEUTRE,TENDANCE_H4,BUY,1798.28,SL=1788.53,TP=1822.65,Lots=0.01,927.79,4.59,SL_TENDANCE_H4_1.80xATR,TP_TENDANCE_RR1.5-2.5,3.72943,5.41671,11.42221,34.32,2.6493,200,1,0,1.3175,1.05,0.21,43.5246,56.4754,77.1129,22.8871,0.0,0.0,0,0,ADN_DECLENCHEUR,OK,NEUTRE,TENDANCE,1788.53,1822.65,0.01,9.75,24.37000000000012,2.4994871794871916,0.5421847543207954,1.355183842338241,0,0,1,0,0,2022-12-02 17:15:00,17,4,12,NY,1,0.49472402159971546
2022.12.05 02:00,2022.12.14 19:00,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|OK|RETOUR_BAISSIER,TENDANCE_H4,BUY,1806.68,SL=1796.49,TP=1832.14,Lots=0.01,928.0,-8.13,SL_RETOURNEMENT_PSY_1.80xATR,TP_TENDANCE_RR1.5-2.5,1.97957,5.65893,9.28079,27.29,3.0694,200,1,0,1.1293,1.05,0.21,32.9387,67.0613,25.5079,74.4921,0.0,0.0,0,0,ADN_DECLENCHEUR,OK,RETOUR_BAISSIER,TENDANCE,1796.49,1832.14,0.01,10.190000000000055,25.460000000000036,2.4985279685966537,0.5640179777271046,1.4092146921424953,0,0,0,0,0,2022-12-05 02:00:00,2,0,12,ASIA,0,-0.8760775862068967
2022.12.07 20:00,2022.12.20 05:37,BUY TENDANCE [Cerveau v5],ADN_EXPLOSION|OK|NEUTRE,TENDANCE_H4,BUY,1789.96,SL=1780.68,TP=1813.18,Lots=0.01,917.81,-6.51,SL_EXPLOSION_ADN_1.80xATR,TP_TENDANCE_RR1.5-2.5,1.82157,5.15871,7.99993,24.61,2.1054,200,1,0,0.893,0.893,0.179,29.4012,70.5988,58.3208,41.6792,74.1843,0.0,0,0,ADN_EXPLOSION,OK,NEUTRE,TENDANCE,1780.68,1813.18,0.01,9.279999999999973,23.220000000000027,2.5021551724138034,0.5184473396053528,1.297235692417709,1,0,0,0,0,2022-12-07 20:00:00,20,2,12,NY,0,-0.7092971312145215
2022.12.09 14:15,2022.12.20 12:50,BUY TENDANCE [Cerveau v5],ADN_EXPLOSION|MANIPULATION_HAUSSIER|NEUTRE,TENDANCE_H4,BUY,1795.07,SL=1787.04,TP=1815.12,Lots=0.01,915.5,-8.15,SL_EXPLOSION_ADN_1.80xATR,TP_TENDANCE_RR1.5-2.5,3.487,4.45707,8.39729,42.9,2.3529,200,1,0,0.922,0.922,0.184,45.1361,54.8639,62.0444,37.9556,32.5605,1792.8,0,0,ADN_EXPLOSION,MANIPULATION_HAUSSIER,NEUTRE,TENDANCE,1787.04,1815.12,0.01,8.029999999999973,20.049999999999955,2.4968866749688696,0.4473363155754357,1.1169480855899745,1,0,0,0,0,2022-12-09 14:15:00,14,4,12,NY,0,-0.8902239213544512
